2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:05:00 - 10.2.39.1 - Error: Response PDU is null
2023-02-10 13:05:00 - 10.2.152.1 - Error: Response PDU is null
2023-02-10 13:05:01 - 10.2.193.1 - Error: Response PDU is null
2023-02-10 13:05:01 - 10.2.128.1 - Error: Response PDU is null
2023-02-10 13:05:01 - 10.2.70.1 - Error: Response PDU is null
2023-02-10 13:05:01 - 10.2.18.1 - Error: Response PDU is null
2023-02-10 13:05:02 - 10.2.202.1 - Error: Response PDU is null
2023-02-10 13:05:02 - 10.2.54.1 - Error: Response PDU is null
2023-02-10 13:05:03 - 10.2.171.1 - Error: Response PDU is null
2023-02-10 13:05:03 - 10.2.153.1 - Error: Response PDU is null
2023-02-10 13:05:03 - 10.2.90.1 - Error: Response PDU is null
2023-02-10 13:05:04 - 10.2.194.1 - Error: Response PDU is null
2023-02-10 13:05:04 - 10.2.71.1 - Error: Response PDU is null
2023-02-10 13:05:05 - 10.2.203.1 - Error: Response PDU is null
2023-02-10 13:05:05 - 10.2.55.1 - Error: Response PDU is null
2023-02-10 13:05:06 - 10.2.21.1 - Error: Response PDU is null
2023-02-10 13:05:06 - 10.2.113.1 - Error: Response PDU is null
2023-02-10 13:05:06 - 10.2.154.1 - Error: Response PDU is null
2023-02-10 13:05:07 - 10.2.173.1 - Error: Response PDU is null
2023-02-10 13:05:08 - 10.2.1.1 - Error: Response PDU is null
2023-02-10 13:05:09 - 10.2.73.1 - Error: Response PDU is null
2023-02-10 13:05:09 - 10.2.114.1 - Error: Response PDU is null
2023-02-10 13:05:10 - 10.2.58.1 - Error: Response PDU is null
2023-02-10 13:05:10 - 10.2.205.1 - Error: Response PDU is null
2023-02-10 13:05:11 - 10.2.4.1 - Error: Response PDU is null
2023-02-10 13:05:11 - 10.2.156.1 - Error: Response PDU is null
2023-02-10 13:05:11 - 10.2.133.1 - Error: Response PDU is null
2023-02-10 13:05:11 - 10.2.25.1 - Error: Response PDU is null
2023-02-10 13:05:12 - 10.2.74.1 - Error: Response PDU is null
2023-02-10 13:05:12 - 10.2.115.1 - Error: Response PDU is null
2023-02-10 13:05:13 - 10.2.175.1 - Error: Response PDU is null
2023-02-10 13:05:13 - 10.2.59.1 - Error: Response PDU is null
2023-02-10 13:05:13 - 10.2.206.1 - Error: Response PDU is null
2023-02-10 13:05:13 - 10.2.217.1 - Error: Response PDU is null
2023-02-10 13:05:14 - 10.2.157.1 - Error: Response PDU is null
2023-02-10 13:05:14 - 10.2.26.1 - Error: Response PDU is null
2023-02-10 13:05:15 - 10.2.116.1 - Error: Response PDU is null
2023-02-10 13:05:17 - 10.2.158.1 - Error: Response PDU is null
2023-02-10 13:05:18 - 10.2.198.1 - Error: Response PDU is null
2023-02-10 13:05:18 - 10.2.117.1 - Error: Response PDU is null
2023-02-10 13:05:18 - 10.2.136.1 - Error: Response PDU is null
2023-02-10 13:05:18 - 10.2.98.1 - Error: Response PDU is null
2023-02-10 13:05:19 - 10.2.178.1 - Error: Response PDU is null
2023-02-10 13:05:20 - 10.2.42.1 - Error: Response PDU is null
2023-02-10 13:05:21 - 10.2.199.1 - Error: Response PDU is null
2023-02-10 13:05:21 - 10.2.79.1 - Error: Response PDU is null
2023-02-10 13:05:21 - 10.2.99.1 - Error: Response PDU is null
2023-02-10 13:05:22 - 10.2.10.1 - Error: Response PDU is null
